"","v_bh","v_con","v_new"
"374",2048945.0991513,1827512.22232077,1866560.35930378
"375",863295.095178228,877601.951236144,863295.095178228
"376",922485.221763921,945675.58861048,922485.221763921
"377",969057.807331522,998640.715636537,969057.807331522
"378",1273931.35106018,1289404.46666203,1274223.28202159
"379",1224783.66944466,1245719.70330406,1233522.29729683
"380",1062678.2649374,1095523.50149948,1099656.07815618
"381",2321711.56437757,1982633.67443793,2046389.36720542
"382",867917.86791025,882223.699750625,867917.86791025
"383",780591.303003192,766787.257977311,863784.881679702
"384",874609.004025655,890369.737307575,874609.004025655
"385",1201858.44804605,1226711.03902202,1201858.44804605
"386",1834522.07569542,1695784.32706677,1717471.77734081
"387",834902.906869743,841112.008092521,834902.906869743
"388",2229124.73464473,1932829.52407817,1996452.22862931
"389",719970.958796702,674969.695260142,719970.958796702
"390",1072571.18395148,1105607.59875738,1107372.99358676
"391",918611.273429402,942085.341445351,918611.273429402
"392",2103226.22361127,1858676.47813167,1903688.50365008
"393",1400818.62766456,1390459.97391425,1379928.6612693
"394",990995.512517258,1021462.94100445,990995.512517258
"395",1395904.61776254,1384334.4296557,1375850.27524121
"396",808304.02614966,803938.78059234,808304.02614966
"397",1253320.63300021,1271759.80426516,1256985.46316679
"398",2205004.56819465,1919190.18678593,1979538.32687956
"399",1106409.05567522,1139270.3867094,1135847.59509068
"400",1488092.0914662,1458215.53725678,1453121.4129002
"401",1047812.33143026,1081085.73277177,1047812.33143026
"402",809109.048032449,806497.963002613,809109.048032449
"403",1091292.18278508,1122357.49747821,1123217.74013807
"404",1009557.04120738,1041531.4260612,1009557.04120738
"405",1710564.37503728,1611428.57467898,1633406.559425
"406",802694.451773378,798525.459604243,802694.451773378
"407",1022431.07725686,1053151.82224714,1022431.07725686
"408",1373905.34027268,1370666.96926545,1358685.52437074
"409",1455555.57894039,1430967.87335858,1425793.76799321
"410",1066711.49186271,1100315.67150754,1066711.49186271
"411",802969.881446561,798268.705673722,802969.881446561
"412",1317098.03581916,1324068.6820206,1310901.0041832
"413",801663.057116846,796490.523467713,801663.057116846
"414",901467.793296864,922491.693386068,901467.793296864
"415",1092731.5235344,1124821.63487449,1092731.5235344
"416",828220.112098216,830991.25517833,828220.112098216
"417",1159424.64556629,1189225.06007811,1159424.64556629
"418",1053397.35994617,1086421.6236485,1053397.35994617
"419",1445983.74889098,1424185.88448949,1417773.90158272
"420",696525.747193369,636379.245693743,696525.747193369
"421",1576726.56103637,1521488.43542282,1539334.98687929
"422",871038.752700566,887306.849186331,871038.752700566
"423",1518204.8170939,1480971.32766659,1477690.85710543
"424",1951892.924664,1769091.06000501,1798974.68982137
"425",1391437.90297178,1383723.12865107,1372936.68797146
"426",1078943.38959848,1110172.83308256,1078943.38959848
"427",1388778.97411732,1382184.16499682,1370847.26054895
"428",735979.392935674,700649.015598312,735979.392935674
"429",853680.133203055,863956.985493931,853680.133203055
"430",1012512.70350968,1044857.34004743,1012512.70350968
"431",717552.879459614,672716.364585939,717552.879459614
"432",839796.523973797,844793.649872407,839796.523973797
"433",941626.444248975,967016.001000902,941626.444248975
"434",906475.67950768,926819.397735236,906475.67950768
"435",1286116.09492677,1298436.05589284,1284554.26605992
"436",1463489.4584022,1436614.41525052,1432433.29516572
"437",1069109.25454348,1101453.58039021,1069109.25454348
"438",1203752.17599184,1226811.65087048,1216087.67510223
"439",1316904.12228574,1322827.98114726,1310833.22154526
"440",1587197.04527619,1531631.20235104,1546428.06791836
"441",949200.336986902,977569.599637045,949200.336986902
"442",879921.42138507,896530.153229967,879921.42138507
"443",704729.439140828,651324.695973426,704729.439140828
"444",1165797.24679944,1195008.13931241,1184701.27827614
"445",1296563.35623605,1308918.99094613,1294598.46516199
"446",816303.075924321,815243.733492795,816303.075924321
"447",1079755.88359906,1113784.71490171,1079755.88359906
"448",1229275.61640992,1247705.0765609,1229275.61640992
"449",1002273.45586831,1032858.28814959,1048698.45811678
"450",1005471.5364865,1037119.05877077,1005471.5364865
"451",760434.174949695,737508.938377281,760434.174949695
"452",895301.344173916,914937.320047522,959997.009367784
"453",944329.697569365,970794.463709007,944329.697569365
"454",1092548.38829998,1123834.08360638,1122981.20829708
"455",1172464.98951421,1200589.2747602,1190974.99620464
"456",899576.021234541,919123.133296045,899576.021234541
"457",1223673.06523957,1244162.99879558,1233209.30110973
"458",1140829.65422482,1171418.05238152,1140829.65422482
"459",1248947.40610572,1267186.46518094,1253670.174805
"460",788601.37800833,777881.887011654,788601.37800833
"461",1141047.02670713,1170663.48526076,1164765.73971772
"462",925273.949458359,949941.593968895,984949.540671097
"463",1392054.81347878,1383615.91314072,1373566.07014679
"464",1837221.04509348,1701684.3489207,1720193.0187887
"465",1001328.75209641,1033225.34576839,1001328.75209641
"466",747519.338374515,718138.534364239,747519.338374515
"467",905043.657602274,926607.480122774,905043.657602274
"468",790312.117910173,780945.086607383,790312.117910173
"469",1006569.40356136,1038296.51759261,1051510.21668573
"470",897044.587617764,916255.909593432,897044.587617764
"471",878831.861851105,895492.604608466,878831.861851105
"472",1338259.25259566,1340258.88051989,1328950.90270825
"473",728066.754168809,687071.807582004,728066.754168809
"474",863441.10047908,875505.679174619,863441.10047908
"475",812224.240703361,810100.675006265,812224.240703361
"476",1366039.98800377,1363707.16201845,1351600.22865018
"477",1218394.33382884,1240529.12436281,1293524.04208344
"478",784928.332851533,774272.168831026,784928.332851533
"479",1228280.25970248,1248832.07247372,1297627.04048809
"480",1660333.83187286,1581895.61370118,1597699.09003543
"481",1649410.62822085,1572300.13239881,1590250.72197984
"482",1778952.58993576,1658746.20615856,1678667.37883663
"483",708462.040196812,656302.193432535,708462.040196812
"484",1589273.10290195,1529363.94632508,1537025.17265976
"485",728011.448835149,688226.112547638,728011.448835149
"486",1094589.55732671,1126611.76531107,1094589.55732671
"487",1062146.85175423,1095227.67701148,1062146.85175423
"488",1073655.9462638,1106868.06028966,1109392.75275671
"489",848374.750168668,857193.638280855,848374.750168668
"490",843936.308400465,850572.102309521,843936.308400465
"491",1030252.22546145,1061893.35099409,1071722.35349931
"492",996123.075796605,1027446.42971656,996123.075796605
"493",788307.307422932,776095.453745912,788307.307422932
"494",897630.495303986,915673.083669111,897630.495303986
"495",1157703.84706601,1185119.94172715,1178801.80229721
"496",1015885.46345933,1048469.40878723,1015885.46345933
"497",925241.105609646,948638.232615709,925241.105609646
"498",1228898.52770549,1251757.07727611,1237325.42174467
"499",802260.158757449,796285.536936061,881141.020541352
"500",1034638.39554381,1066424.29534124,1034638.39554381
"501",865963.466191564,879517.254549605,865963.466191564
"502",1391922.29292134,1380587.93781795,1372947.31496316
"503",629770.294256348,509273.382559298,629770.294256348
"504",913529.792875289,935890.43777357,913529.792875289
"505",825643.477637579,827485.95954032,825643.477637579
"506",1265676.92227077,1280074.11046677,1268295.50094159
"507",704567.190776228,650681.780551266,704567.190776228
"508",979343.227849306,1011972.09911708,1029729.35414156
"509",834173.92097212,838247.816824621,834173.92097212
"510",1147397.08805372,1177066.79502519,1169215.08364658
"511",1039772.97173558,1071757.12894797,1081427.56522902
"512",1070768.88050721,1105193.95464196,1105107.99065829
"513",872734.510107991,888746.973934135,872734.510107991
"514",1625990.88990679,1558505.39061122,1575024.33584415
"515",989495.610945373,1019517.08209128,989495.610945373
"516",1108082.69131077,1139105.42249444,1136686.10725394
"517",886774.137696251,905126.734503391,886774.137696251
"518",1143936.19357172,1171119.62163293,1143936.19357172
